Brand,Processor,OS,RAM,RAM_Type,SSD,Display,Selling_Price,Original_Price,Discount_on_OriginalPrice,Rating
ASUS,Intel Celeron Dual Core,Chrome,4,LPDDR4X,,14,"18,799","21,990",14,3.8
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
ASUS,Intel Core Ultra 9,Windows 11,16,LPDDR5X,1 TB,15.6,"1,10,990","1,52,990",27,4.5
Apple,Apple M4,Mac OS,16,Unified Memory,512 GB,14,"1,60,990","1,69,900",5,4.9
HP,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"48,990","62,526",21,4.3
Acer,Intel Core i5,64 bit Windows 11 Home,16,DDR4,512 GB,15.6,"50,990","84,990",40,4.1
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
ASUS,Intel Core i5,Windows 11,8,DDR4,512 GB,15.6,"39,990","69,990",42,4.2
Acer,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"52,990","84,999",37,4.2
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
Infinix,Intel Core i5,64 bit Windows 11,16,LPDDR4X,512 GB,14,"49,990","69,990",28,4.5
HP,Intel Core i7,64 bit Windows 11,16,DDR4,512 GB,15.6,"64,990","79,990",18,4.1
Apple,Apple M4 Pro,Mac OS,24,Unified Memory,1 TB,14,"2,26,990","2,39,900",5,
Infinix,Intel Core i7,Windows 11,8,LPDDR4X,512 GB,14,"39,990","64,990",38,
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
Acer,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"49,990","84,999",41,4.3
